46,ForHahns,2021-10-19T18:01:20Z,51710005100,democrats who voted for jonesjay in the last 3 elections believe in my positive vision for norfolk  education safety and jobs  my vision includes 100 of norfolks residents thats why many democrats independents and republicans are with me vote today vote republican httpstcowqinituwh6,36.830177,-76.2613,5mi,"positive, vision, safety, vision","2, 1, 1, 1",positive,1,1.25,1
47,Jacob_E_Hilton,2021-10-19T18:01:07Z,51710005100,as a representative of the sixers we accept httpstcob9lxhk4hsa,36.830177,-76.2613,5mi,accept,1,NA,NA,1,NA
48,EraHardaway,2021-10-19T18:01:06Z,51710005100,just gots to see it through,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
49,rickycassh,2021-10-19T18:00:45Z,51710005100,quec shittt that jawn being sweet makes it more dangerous every abc store should have it,36.830177,-76.2613,5mi,sweet,2,more,1,2,1
50,BahamaPapa_,2021-10-19T18:00:43Z,51710005100,petaabreadd lol my lil sister just say bout two weeks how you never make them for her and ise like honestly une getting them ,36.830177,-76.2613,5mi,"lol, like","3, 2",NA,NA,2.5,NA
51,Linda_U_W_A,2021-10-19T18:00:41Z,51710005100,shoeboot personalised word art print free uk  httpstcoaavwnlt6jrqueenof bizads httpstcozlmbbgtoay,36.830177,-76.2613,5mi,free,1,NA,NA,1,NA
52,KngPharaoh,2021-10-19T18:00:36Z,51710005100,an authority figure may help you identify some of your beliefs more for leo httpstcoapda0afhzv,36.830177,-76.2613,5mi,"authority, help","1, 2",more,1,1.5,1
53,_ShadG,2021-10-19T18:00:32Z,51710005100,theeight8all theeight8all they been hating on that man since they sret eyes on him,36.830177,-76.2613,5mi,hating,-3,NA,NA,-3,NA
54,YoungRebel_23,2021-10-19T18:00:32Z,51710005100,me vs the world httpstcowal2yzp5iv,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
55,Trey__White,2021-10-19T18:00:25Z,51710005100,trustmewegetit well yea he literally has a cannon for an arm bro lol and i mean something like that im just saying there was no type of promise that knives would change he easily could have woken up and killed vash spike dont gotta worry about none of his oops thickening the plot,36.830177,-76.2613,5mi,"lol, like, no, promise, killed, worry","3, 2, -1, 1, -3, -3",none,1,-0.17,1
56,WODUplaylist,2021-10-19T18:00:24Z,51710005100,weird adults  fix my bog   nowplayingwodustudios collegeradio listenlive,36.830177,-76.2613,5mi,weird,-2,NA,NA,-2,NA
57,AcademyofLearn1,2021-10-19T18:00:23Z,51710005100,we are equipped to handle any of your fine arts program needs visit us today at 5329 e virginia beach blvd norfolk va 23502 learningcenter lessonplans httpstcof82gwvamay httpstcownlcvh7ly1,36.830177,-76.2613,5mi,fine,2,fine,1,2,1
58,SuperEricRogers,2021-10-19T18:00:05Z,51710005100,footahh nationwidenolan can apply to both groups and im not buying either one of them great point,36.830177,-76.2613,5mi,great,3,NA,NA,3,NA
59,BrianReese_,2021-10-19T18:00:02Z,51710005100,lol yall arobinsonphotoj 3d printed this for me  httpstcoxetikekqem,36.830177,-76.2613,5mi,lol,3,NA,NA,3,NA
60,_skvnny,2021-10-19T17:56:13Z,51710005100,feels like a sunday httpstcojp9mpkmc0s,36.830177,-76.2613,5mi,like,2,NA,NA,2,NA
61,MuseWriters,2021-10-19T18:00:00Z,51710005100,are you ready to launch your writing career join belinda elliott for build your online platform websites amp blogs httpstcorlpixseazpjoin filmtraveler for screenwriting 1 httpstcolrrwwhj3nijoin rachel maher for creative nonfiction 1 httpstcommgsoob0le httpstcosa8drbzmsg,36.830177,-76.2613,5mi,"join, creative","1, 2",NA,NA,1.5,NA
62,Taipolar_twitch,2021-10-19T18:00:00Z,51710005100,ladykubu59 pokemonunite man that thing is cute like super duper cute but hes not in the top percentage of rodent pokemon httpstcofnaooazgkl,36.830177,-76.2613,5mi,"cute, like, super, cute, top","2, 2, 3, 2, 2",NA,NA,2.2,NA
63,Therealmanos,2021-10-19T17:59:58Z,51710005100,ghostbusters iihighlander 2legend of the overfiend pearl harbor httpstcopjoxccadgg,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
64,bombicarr,2021-10-19T17:59:48Z,51710005100,rothbard1776 yes  after the trustees meeting,36.830177,-76.2613,5mi,yes,1,NA,NA,1,NA
65,NickGreyhound1,2021-10-19T17:59:46Z,51710005100,pawdhraic punny,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
66,ShaylaSnapped,2021-10-19T17:59:33Z,51710005100,obsessed with our new set amethysthttpstco67wvkxud42 httpstcoiee07nsw4i,36.830177,-76.2613,5mi,obsessed,2,NA,NA,2,NA
67,JamieSmith26996,2021-10-19T17:59:29Z,51710005100,charleylouisew good luck,36.830177,-76.2613,5mi,"good, luck","3, 3",good,1,3,1
68,tavobabyy,2021-10-19T17:59:14Z,51710005100,freakyyfrank yeah it was aight the one before was better,36.830177,-76.2613,5mi,"yeah, better","1, 2",better,1,1.5,1
69,Jonatha47263513,2021-10-19T17:58:50Z,51710005100,kriscomics same smile,36.830177,-76.2613,5mi,smile,2,NA,NA,2,NA
70,PlayDat_FoxTrap,2021-10-19T17:58:39Z,51710005100,dust ya self off n try again,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
71,PuddlezNoir,2021-10-19T17:58:13Z,51710005100,horny jail httpstcoizwqs3khiy,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
72,HennyNFriedCrab,2021-10-19T17:57:59Z,51710005100,kiachantel big facts,36.830177,-76.2613,5mi,big,1,NA,NA,1,NA
73,Sneakerkid757,2021-10-19T17:57:54Z,51710005100,lilduval vegeta for sure,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
74,vonsspaceship,2021-10-19T17:57:52Z,51710005100,calzmaraj barbleting nickissonss3 yeah what calz said,36.830177,-76.2613,5mi,yeah,1,NA,NA,1,NA
