"","screen_name","ID","all_afinn_words","all_afinn_values","all_custom_words","all_custom_values","afinn_score","custom_score"
"316","roderickgraham",25,"wish, grace, ability, crazy, liars, hard, hard, opportunity, misinformation, straight, fan, lol, interesting, hard, afraid, admit, want, success, important, opportunity, no, inviting, racist, glad, likes, true, want, curious, success, failure, agree, like, hypocritical, no, true, racism, hypocritical, arrogant, impressed","1, 1, 2, -2, -3, -1, -1, 2, -2, 1, 3, 3, 2, -1, -2, -1, 1, 2, 2, 2, -1, 1, -3, 3, 2, 2, 1, 1, 2, -2, 1, 2, -2, -1, 2, -3, -2, -2, 3","rise, hard, work, hard, work, more, opportunity, work, work, record, straight, high, work, hard, success, work, more, opportunity, work, cant, cant, success, failure, none","1, -1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, -1, -1, 1, -1, 1",0.33,0.16
"317","RonaldGAlfaro1",811,"problem, interesting, guilty","-2, 2, -3","most","1",-1,0
"318","RosemaryGuerer1",286,"hope, clean, like, like, better","2, 2, 2, 2, 2","better","1",2,0.45
"319","rumdrinker71",729,"heroes, no, no, dream","2, -1, -1, 1","work","1",0.25,0
"320","RussellCogman",820,"love, great","3, 3","work","1",3,0
"321","ryanaircraft",340,"shitty, good","-3, 3","good","1",0,0.71
"322","ryanmcginnis87",437,"best, happy","3, 3","best","1",3,0.71
"323","saeed_asaid",96,"hell, shit, yeah, annoying, cut, best, solution, leave, fight, help, stopped, ugly, growth","-4, -4, 1, -2, -1, 3, 1, -1, -1, 2, -1, -3, 2","down, more, more, down, cant, best, grown, growth","-1, 1, 1, -1, -1, 1, 1, 1",-0.62,0.55
"324","SagaciousJae",256,"funny, spirit, spirit, pretty, shit, falling, alert, ass","4, 1, 1, 1, -4, -1, -1, -4","falling, deliver, deliver","-1, 1, 1",-0.38,-0.35
"325","samaw100",591,"hard","-1","hard","-1",-1,-1
"326","saved_x_love",526,"cancelled, angry","-1, -3","high","1",-2,0
"327","savvyroseva",669,"hard","-1","hard","-1",-1,-1
"328","ScratchingHimUp",84,"love, care, favorites, fuck, love, retarded, good, like, vulnerable, love","3, 2, 2, -4, 3, -2, 3, 2, -2, 3","good","1",1,0.32
"329","Selfmadenise",235,"proud, crazy, thankful, best, ill, pay","2, -2, 2, 3, -2, -1","grown, best","1, 1",0.33,0.41
"330","Sharkcity_Ave",185,"damn, lol, worse","-4, 3, -3","worse","-1",-1.33,-0.58
"331","shawnporterz1",765,"good","3","good, slow","1, -1",3,1
"332","shep_35",803,"like, racists, yeah, fine, cancel, crap, like","2, -3, 1, 2, -1, -3, 2","fine","1",0,0.38
"333","shiftomnimega",298,"best","3","best","1",3,1
"334","siatraining",292,"empty, like, hard, like, leave, authority, love","-1, 2, -1, 2, -1, 1, 3","hard, work","-1, 1",0.71,-0.38
"335","SibbieBoxing",299,"lol, like","3, 2","record","1",2.5,0
"336","sig33kde",359,"problem, gains, worried, like, bad, empty","-2, 2, -3, 2, -3, -1","cant, bad, more","-1, -1, 1",-0.83,-0.41
"337","simonelohh",146,"wish, encouragement, worst, warning, thanks","1, 2, -3, -3, 2","worst","-1",-0.2,-0.45
"338","SJArmentrout",386,"positive, no, liked, fan, good, yes, wtf, stop, lost, worrying, interesting, great, fan, lol, ass, bad, like, blame, appreciate, better, awesome, stupid, awesome, yes, fake, thanks","2, -1, 2, 3, 3, 1, -4, -1, -3, -3, 2, 3, 3, 3, -4, -3, 2, -2, 2, 2, 4, -2, 4, 1, -3, 2","high, positive, record, good, bad, better","1, 1, 1, 1, -1, 1",0.5,0.39
"339","slnash4u",78,"perfect, ass, fails, care, stupid, shocking, crazy, ass, mad, fuck, better, bitch, tired, hopefully, hell, loose, rich, hard, yeah, avoid, better, like, fucking, wtf, fired, incompetence, hell, want, nice, reach, want, stamina, good, alive, fuck","3, -4, -2, 2, -2, -2, -2, -4, -3, -4, 2, -5, -2, 2, -4, -3, 2, -1, 1, -1, 2, 2, -4, -4, -2, -2, -4, 1, 3, 1, 1, 2, 3, 1, -4","fails, work, better, tired, work, hard, work, better, more, good","-1, 1, 1, -1, 1, -1, 1, 1, 1, 1",-0.89,0
"340","Smparkerstone",27,"thank, noble, love, hate, praying, crazy, please, thank, thank, smart, dedicated, peace, thankful, wonderful, frustrated","2, 2, 3, -3, 1, -2, 1, 2, 2, 1, 2, 2, 2, 4, -2","cant, less","-1, -1",1.13,0
"341","spiideylove",503,"careful, protects, fucked, fine","2, 1, -4, 2","cant, fine, more","-1, 1, 1",0.25,0.5
"342","ss0phiie",289,"weird, love, like, yes, ass","-2, 3, 2, 1, -4","beat","1",0,0
"343","SSGClo",772,"fight, fun","-1, 4","most","1",1.5,0
"344","Ster_Financial",121,"good","3","good","1",3,1
"345","sterlingoaksaps",777,"want, easy","1, 1","more","1",1,0
"346","stormiepassions",475,"interesting, horrible, cool, interesting, lol, overweight, enjoys, weird, gross, fan, escape, like","2, -3, 1, 2, 3, -1, 2, -2, -2, 3, -1, 2","enjoys","1",0.5,0.29
"347","stuntcat",625,"best, kind, heroes, like, mad, safe, matter","3, 2, 2, 2, -3, 1, 1","work, best","1, 1",1.14,0.38
"348","sugardrift",350,"affectionate, shitty, dead, cool, adventures, love","3, -3, -3, 1, 2, 3","falls","-1",0.5,0
"349","SuperBunnyBun",566,"no, kudos","-1, 3","more","1",1,0
"350","swasey_patrick",405,"true","2","dropped","-1",2,0
"351","sxvannahjo",206,"awesome, fucking, sucks, disappointed","4, -4, -3, -2","disappointed","-1",-1.25,-0.5
"352","talkyatalkE",465,"lol, love, best","3, 3, 3","more, more, best, down","1, 1, 1, -1",3,0.58
"353","TateForkel",150,"hurts, helps","-2, 2","more","1",0,0
"354","ThatdollM",47,"piss, hate, shit, like, shit, miss","-4, -3, -4, 2, -4, -2","work","1",-2.5,0
"355","ThatGuyMcLeod",16,"drag, ass, damn, calm","-1, -4, -4, 2","down","-1",-1.75,0
"356","TheDisciple92",380,"strong, hell, please, die, murder, like, best, crazy, lol, love, hell","2, -4, 1, -3, -2, 2, 3, -2, 3, 3, -4","strong, leader, best","1, 1, 1",-0.09,0.6
"357","TheJeffMatson",348,"hurt, hard, mad","-2, -1, -3","hard","-1",-2,-0.58
"358","TheLifeOfPxblo",640,"good, good","3, 3","good, good, more","1, 1, 1",3,1.41
"359","thePETAlife",588,"honor","2","cant, work","-1, 1",2,0
"360","thereaalmani",562,"scared, hell, hurt, stupid, no","-2, -4, -2, -2, -1","cant","-1",-2.2,0
"361","therealljuneb",318,"like, shit, funny, shit, bad, want, lol, ass, shit","2, -4, 4, -4, -3, 1, 3, -4, -4","bad","-1",-1,-0.33
"362","Therealmanos",703,"yes, thanks, hope, enjoy, murder, yes, hope, like","1, 2, 2, 2, -2, 1, 2, 2","slow, enjoy","-1, 1",1.25,0.35
"363","TheWakerBaker",245,"interesting, shit, want, ill, proud","2, -4, 1, -2, 2","most, work, more","1, 1, 1",-0.2,0
"364","theworstdev",67,"lol, no, clearly, like, blocking, useful, good, better, natural, discord, best, fun, great, prison, love","3, -1, 1, 2, -1, 2, 3, 2, 1, -2, 3, 4, 3, -2, 3","good, better, best, more","1, 1, 1, 1",1.4,0.77
"365","thomchl42",609,"matter","1","more","1",1,0
