"","screen_name","ID","all_afinn_words","all_afinn_values","all_custom_words","all_custom_values","afinn_score","custom_score"
"221","meritsolutions",145,"protect, protect","1, 1","more","1",1,0
"222","MGMUSMCRet",93,"hope, god, responsible, fail, like, nice","2, 1, 2, -2, 2, 3","fail","-1",1.33,-0.41
"223","MikeD_Made_it",846,"crazy, bad, bad, lol","-2, -3, -3, 3","bad, bad","-1, -1",-1.25,-1
"224","MiniRetrobates",385,"broken","-1","above","1",-1,0
"225","miraixavier",418,"like, guilty, threat, block, big, like, safe, important, better, hate, like, discord","2, -3, -2, -1, 1, 2, 1, 2, 2, -3, 2, -2","better","1",0.08,0.29
"226","moonlitlan",738,"stop, lol, good, like, like, big, agree, fine","-1, 3, 3, 2, 2, 1, 1, 2","most, good, fine","1, 1, 1",1.62,0.71
"227","Movin1077fm",64,"mandatory, agreed, love","-1, 1, 3","down","-1",1,0
"228","Mr8accw3T",214,"evil, hell, care, negativity, blessing, miss, bitches, no, thanks, greeting, nice, agreed, agreed","-3, -4, 2, -2, 3, -2, -5, -1, 2, 1, 3, 1, 1","cant, cant","-1, -1",-0.31,0
"229","MrComical_L2daJ",13,"lol, broke, lol, lol, thanks, funny","3, -1, 3, 3, 2, 4","low","-1",2.33,0
"230","MrDunlo",763,"true, weird, like, horrible, injury, fight, like, helps, cool","2, -2, 2, -3, -2, -1, 2, 2, 1","injury","-1",0.11,-0.33
"231","mrnathannelson",107,"shit, damn, risk, cut, yeah, cleared, miserable, like","-4, -4, -2, -1, 1, 1, -3, 2","most, less, risk, cant, down","1, -1, -1, -1, -1",-1.25,-0.35
"232","mrsdp8",123,"worth, thanks, blame, agree, fit, attacking, weird, support, strange, strangely, strangely","2, 2, -2, 1, 1, -1, -2, 2, -1, -1, -1","more","1",0,0
"233","MrsJonica",68,"miserable, want, cancer, died, greater","-3, 1, -1, -3, 3","more, greater, more","1, 1, 1",-0.6,0.45
"234","mrvaughanteach",60,"love, helping, racism, justice, appreciate, thank","3, 2, -3, 2, 2, 2","work","1",1.33,0
"235","musicnerdzradio",3,"lonely, clean, perfect, clean, clean, clean, love, strange, faith, no, clean, crazy, clean, love, clean, pretty, clean, top, clean, chic, chic, cheer, chic, love, straight, clean, heaven, clean, like, clean","-2, 2, 3, 2, 2, 2, 3, -1, 1, -1, 2, -2, 2, 3, 2, 1, 2, 2, 2, 2, 2, 2, 2, 3, 1, 2, 2, 2, 2, 2","cant, rising, straight","-1, 1, 1",1.57,0.18
