39,jimroberts2008,2021-10-13T21:10:12Z,51710005100,dnlgrimes cathylewistalks larrysabato glennyoungkin mcauliffe should start writing his version of what happened,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
40,DGNYVA,2021-10-13T21:05:36Z,51710005100,cecedaniels8 careful what you ask for ill send you dick lmao,36.830177,-76.2613,5mi,"careful, ill, dick, lmao","2, -2, -4, 4",NA,NA,0,NA
41,delcosby,2021-10-13T21:10:04Z,51710005100,making old stuff new and super useful while were at ithttpstcoqlh6ptciuk httpstco77bzs0kosk,36.830177,-76.2613,5mi,"super, useful","3, 2",NA,NA,2.5,NA
42,daveybaseball,2021-10-13T21:09:51Z,51710005100,mlb was he safe,36.830177,-76.2613,5mi,safe,1,NA,NA,1,NA
43,edud__,2021-10-13T21:09:47Z,51710005100,youre guaranteed a ticket everytime bud httpstcoir7jxvlqkf,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
44,Highflyer757A,2021-10-13T21:08:40Z,51710005100,its basically your fault httpstcoz92y7oa7d2,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
45,NoFaceTay,2021-10-13T21:09:15Z,51710005100,i need a leg day trainer this shit annoying,36.830177,-76.2613,5mi,"shit, annoying","-4, -2",NA,NA,-3,NA
46,bcow82,2021-10-13T21:09:00Z,51710005100,meganplain are we getting the dallascowboys game on wtkr this weekend,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
47,willrowlands24,2021-10-13T21:08:48Z,51710005100,aaylaafterdark dont ask ,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
48,slnash4u,2021-10-13T21:08:27Z,51710005100,skippyqsb hey skippy i can only go by the official press releases indicating he was asked as a guest now whether he got a little stipend as encouragement well at 90 years of age i aint mad at him players gonna play,36.830177,-76.2613,5mi,"encouragement, mad","2, -3",NA,NA,-0.5,NA
49,Nate_P757,2021-10-13T21:08:23Z,51710005100,this saturday twotripleoh is in the 757 with the gang tickets in our bio   chichos pizza backstage httpstcoacyfpgebfi,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
50,AthleticsNA,2021-10-13T21:05:08Z,51710005100,mccaa pick six to seal it for the bulldogs xp no good 2814 bulldogs with 36 remaining in 4th,36.830177,-76.2613,5mi,"no, good","-1, 3",good,1,1,1
51,tmj_orf_sales,2021-10-13T21:08:09Z,51710005100,join the norfolk sheraton team see our latest job opening here httpstco1qhstki5of sales norfolk va,36.830177,-76.2613,5mi,join,1,NA,NA,1,NA
52,PrinceAkeem757,2021-10-13T21:08:06Z,51710005100,latimes i dont agree with canceling dave but i also didnt think him talking about trannies for a full hour was funny,36.830177,-76.2613,5mi,"agree, funny","1, 4",NA,NA,2.5,NA
