census_tract,current_state_diabetes,min_improvement_diabetes,median_improvement_diabetes,max_improvement_diabetes,current_state_high_bp,min_improvement_high_bp,median_improvement_high_bp,max_improvement_high_bp,current_state_poor_phys_health,min_improvement_poor_phys_health,median_improvement_poor_phys_health,max_improvement_poor_phys_health,mileage_added
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,1.7
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,1.75
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,1.8
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,1.85
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,1.9
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,1.95
51710000400,91.9,0,0.8,1.4,72.2,0,4.2,4.2,89.2,0,0.9,2.2,2
51710000500,91.8,0,0.7,1.1,73.5,0,0,2.3,89,0,1.5,2.6,0.25
51710000500,91.8,0,0.7,1.1,73.5,0,0,2.3,89,0,1.5,2.6,0.3
51710000500,91.8,0,0.7,1.1,73.5,0,0,2.3,89,0,1.5,2.6,0.35
51710000500,91.8,0,0.7,1.1,73.5,0,0,2.3,89,0,1.5,2.6,0.4
51710000500,91.8,0,0.7,1.1,73.5,0,0,2.3,89,0,1.5,2.6,0.45
51710000500,91.8,0,0.7,1.1,73.5,0,0,2.3,89,0,1.5,2.6,0.5
51710000500,91.8,0,0.7,1.1,73.5,0,0,2.3,89,0,1.5,2.6,0.55
51710000500,91.8,0,0.7,1.1,73.5,0,0,2.3,89,0,1.5,2.6,0.6
51710000500,91.8,0,0.7,1.1,73.5,0,0,2.3,89,0,1.5,2.6,0.65
51710000500,91.8,0,0.7,1.1,73.5,0,0,2.3,89,0,1.5,2.6,0.7
51710000500,91.8,0,0.7,1.1,73.5,0,0,2.3,89,0,1.5,2.6,0.75
51710000500,91.8,0,1.1,1.5,73.5,0,2.3,2.9,89,0,1.5,2.6,0.8
51710000500,91.8,0,1.1,1.5,73.5,0,2.3,2.9,89,0,1.5,2.6,0.85
51710000500,91.8,0,1.1,1.5,73.5,0,2.3,2.9,89,0,1.5,2.6,0.9
51710000500,91.8,0,1.1,1.5,73.5,0,2.3,2.9,89,0,1.5,2.6,0.95
51710000500,91.8,0,1.1,1.5,73.5,0,2.3,2.9,89,0,1.5,2.6,1
51710000500,91.8,0,1.1,1.5,73.5,0,2.3,2.9,89,0,1.5,2.6,1.05
51710000500,91.8,0,1.1,1.5,73.5,0,2.3,2.9,89,0,1.5,2.6,1.1
51710000500,91.8,0,1.1,1.5,73.5,0,2.3,2.9,89,0,1.5,2.6,1.15
51710000500,91.8,0,1.1,1.5,73.5,0,2.3,2.9,89,0,1.5,2.6,1.2
51710000500,91.8,0,1.1,1.5,73.5,0,2.3,2.9,89,0,1.5,2.6,1.25
51710000500,91.8,0,1.1,1.5,73.5,0,2.3,2.9,89,0,1.5,2.6,1.3
51710000500,91.8,0,1.1,1.5,73.5,0,2.3,2.9,89,0,1.5,2.6,1.35
51710000500,91.8,0,1.1,1.5,73.5,0,2.3,2.9,89,0,1.5,2.6,1.4
51710000500,91.8,0,1.1,1.5,73.5,0,2.3,2.9,89,0,1.5,2.6,1.45
51710000500,91.8,0,1.1,1.5,73.5,0,2.3,2.9,89,0,1.5,2.6,1.5
51710000500,91.8,0,1.1,1.5,73.5,0,2.3,2.9,89,0,1.5,2.6,1.55
51710000500,91.8,0,1.1,1.5,73.5,0,2.3,2.9,89,0,1.5,2.6,1.6
51710000500,91.8,0,1.1,1.5,73.5,0,2.3,2.9,89,0,1.5,2.6,1.65
51710000500,91.8,0,1.1,1.5,73.5,0,2.3,2.9,89,0,1.5,2.6,1.7
51710000500,91.8,0,1.1,1.5,73.5,0,2.3,2.9,89,0,1.5,2.6,1.75
51710000500,91.8,0,1.1,1.5,73.5,0,2.3,2.9,89,0,1.5,2.6,1.8
51710000500,91.8,0,1.1,1.5,73.5,0,2.3,2.9,89,0,1.5,2.6,1.85
51710000500,91.8,0,1.1,1.5,73.5,0,2.3,2.9,89,0,1.5,2.6,1.9
51710000500,91.8,0,1.1,1.5,73.5,0,2.3,2.9,89,0,1.5,2.6,1.95
51710000500,91.8,0,1.1,1.5,73.5,0,2.3,2.9,89,0,1.5,2.6,2
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,0.25
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,0.3
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,0.35
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,0.4
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,0.45
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,0.5
