census_tract,ct_population,ct_prct_white,ct_prct_black,ct_prct_asian,ct_prct_hispanic,ct_prct_age_5_9,ct_prct_age_10_14,ct_prct_age_15_19,ct_prct_age_20_24,ct_prct_age_25_34,ct_prct_age_35_44,ct_prct_age_45_54,ct_prct_age_55_59,ct_prct_age_60_64,ct_prct_age_65_74,ct_prct_age_75_84,ct_prct_age_85_plus,ct_median_inc,ct_prct_inc_less_than_10,ct_prct_inc_10_15,ct_prct_inc_15_25,ct_prct_inc_25_35,ct_prct_inc_35_50,ct_prct_inc_50_75,ct_prct_inc_75_100,ct_prct_inc_100_150,ct_prct_inc_150_200,ct_prct_inc_200_plus,ct_prct_less_than_9th,ct_prct_9th_12th,ct_prct_high_school,ct_prct_some_college,ct_prct_associates,ct_prct_bachelors,ct_prct_grad,ct_prct_high_school_plus,ct_prct_bachelors_plus,ct_prct_occupied,ct_prct_vacant,ct_prct_home_owner_vacancy,ct_prct_renter_vacancy,ct_prct_home_owner_occupied,ct_prct_renter_occupied
51153900202,4241,0.425842962,0.117189342,0.024286725,0.637821269,0.086771988,0.100212214,0.037019571,0.051638764,0.059419948,0.199952841,0.149728838,0.145248762,0.050459797,0.039849092,0.054704079,0.009431738,79679,0.049828179,0.005154639,0.031786942,0.049828179,0.115120275,0.158075601,0.159793814,0.274914089,0.109106529,0.046391753,0.225177305,0.09858156,0.246099291,0.20248227,0.037943262,0.111347518,0.078368794,0.676241135,0.189716312,0.955665025,0.044334975,0,0,0.818728522,0.181271478
51153900203,4776,0.232621441,0.316373534,0.046482412,0.39321608,0.076842546,0.098827471,0.06260469,0.031197655,0.075167504,0.161641541,0.221943049,0.101758794,0.043969849,0.068048576,0.055485762,0,58063,0.041407867,0.021394065,0.083505866,0.128364389,0.160110421,0.261559696,0.133195307,0.14699793,0.013802622,0.009661836,0.169648562,0.103833866,0.309584665,0.174440895,0.054952077,0.128434505,0.059105431,0.726517572,0.187539936,0.841463415,0.158536585,0,0.117,0.160110421,0.839889579
51153900300,8520,0.453403756,0.206807512,0.1342723,0.247183099,0.079225352,0.051173709,0.064201878,0.038849765,0.064201878,0.220305164,0.148591549,0.161737089,0.071830986,0.051995305,0.032629108,0.012441315,87426,0.028214078,0.002036067,0.04246655,0.050901687,0.100639907,0.177719604,0.191099476,0.238801629,0.109075044,0.059045957,0.03927139,0.044451872,0.200701872,0.212733957,0.128843583,0.219084225,0.154913102,0.916276738,0.373997326,0.919743178,0.080256822,0.026,0.099,0.574752763,0.425247237
51153900403,4945,0.440040445,0.22082912,0.097674419,0.339939333,0.064105157,0.044084934,0.063498483,0.067947422,0.061274014,0.146208291,0.127401416,0.123154702,0.095854398,0.053791709,0.078867543,0.063700708,64375,0.087173792,0.064963909,0.100499722,0.115491394,0.07995558,0.108273182,0.157690172,0.123264853,0.097723487,0.064963909,0.065953139,0.07202777,0.325137402,0.207405265,0.055539485,0.166039919,0.107897021,0.862019092,0.27393694,0.964132762,0.035867238,0,0.05,0.640755136,0.359244864
51153900404,6072,0.442193676,0.195487484,0.071969697,0.511693017,0.076251647,0.076416337,0.07773386,0.094038208,0.03886693,0.192193676,0.127799736,0.105401845,0.081357049,0.04759552,0.04331357,0.039031621,69015,0.005331754,0.034952607,0.032582938,0.081161137,0.106635071,0.264218009,0.118483412,0.177132701,0.131516588,0.047985782,0.185980341,0.063372995,0.264097258,0.1937403,0.060010347,0.15752716,0.075271599,0.750646663,0.232798758,0.960182025,0.039817975,0,0.063,0.752962085,0.247037915
51153900407,7473,0.413087114,0.330790847,0.120567376,0.312591998,0.090191356,0.061153486,0.073865917,0.095410143,0.085507828,0.143851198,0.164860163,0.115482403,0.05018065,0.044828048,0.036799144,0.033721397,73611,0.014090521,0.016652434,0.08411614,0.070025619,0.107173356,0.21648164,0.161400512,0.200256191,0.065755764,0.064047822,0.086074808,0.077512393,0.286840919,0.231861199,0.095538531,0.148264984,0.073907165,0.836412799,0.22217215,0.974209651,0.025790349,0,0,0.408625107,0.591374893
51153900408,4616,0.401213172,0.355719237,0.096403813,0.253682842,0.079289428,0.089688042,0.08102253,0.045060659,0.046360485,0.160311958,0.153596187,0.139298094,0.078639515,0.05567591,0.052426343,0.012998267,109798,0.009111617,0.029612756,0.02126044,0.033409263,0.075930144,0.127562642,0.138952164,0.267274108,0.102505695,0.194381169,0.020394737,0.061513158,0.344407895,0.200986842,0.097697368,0.139144737,0.135855263,0.918092105,0.275,0.938034188,0.061965812,0.02,0.168,0.845861807,0.154138193
51153900409,6010,0.437603993,0.20249584,0.053577371,0.514309484,0.082861897,0.069717138,0.054575707,0.065058236,0.067221298,0.198502496,0.147088186,0.131780366,0.036938436,0.066056572,0.048585691,0.026955075,92632,0.011220196,0,0.037868163,0.029453015,0.107293128,0.143758766,0.251051893,0.290322581,0.043478261,0.085553997,0.202015113,0.119395466,0.218891688,0.191183879,0.073047859,0.127707809,0.067758186,0.678589421,0.195465995,0.93263571,0.06736429,0.032,0.08,0.797335203,0.202664797
51153900410,5291,0.235683236,0.489132489,0.142506143,0.2001512,0.086751087,0.067851068,0.086373086,0.098469098,0.064260064,0.135702136,0.22018522,0.095445095,0.074277074,0.03024003,0.031374031,0.001512002,90813,0.019668101,0.024585126,0.019668101,0.005531653,0.091579594,0.208973571,0.200368777,0.220036878,0.09649662,0.11309158,0.038034865,0.060855784,0.25451664,0.287163233,0.030744849,0.191125198,0.137559429,0.90110935,0.328684628,0.913531724,0.086468276,0.03,0.132,0.475722188,0.524277812
51153900501,8083,0.53235185,0.141036744,0.056167265,0.619324508,0.0917976,0.067920327,0.056909563,0.048620562,0.090931585,0.181739453,0.166151181,0.104911543,0.036248917,0.044043053,0.082147717,0.017072869,70741,0.04820296,0,0.06807611,0.09640592,0.209302326,0.117124736,0.139957717,0.200422833,0.080338266,0.040169133,0.166602613,0.105495772,0.314757879,0.14104535,0.060146042,0.149308224,0.06264412,0.727901614,0.211952344,0.897192716,0.102807284,0.035,0.124,0.570824524,0.429175476
51153900502,4653,0.363636364,0.441220718,0.093488072,0.120352461,0.085536213,0.051794541,0.053084032,0.044057597,0.048140984,0.239200516,0.212765957,0.122071782,0.053728777,0.047066409,0.025789813,0.011820331,118988,0.015608741,0,0.004682622,0.01144641,0.109261186,0.101977107,0.148283039,0.310093652,0.180541103,0.118106139,0.017375674,0.019173158,0.11713601,0.175853805,0.096165368,0.311863391,0.262432594,0.963451168,0.574295986,0.937103852,0.062896148,0,0.069,0.599895942,0.400104058
51153900600,7764,0.527691911,0.162673879,0.097372488,0.492916023,0.100206079,0.087712519,0.074703761,0.069551777,0.054739825,0.132534776,0.214966512,0.1249356,0.04675425,0.026146316,0.043019062,0.021251932,52768,0.039045553,0.010845987,0.072885033,0.179175705,0.1670282,0.178741866,0.081127983,0.188720174,0.065509761,0.01691974,0.155042017,0.096218487,0.250210084,0.139705882,0.078991597,0.214705882,0.06512605,0.748739496,0.279831933,0.952085915,0.047914085,0,0.077,0.555748373,0.444251627
