CENSUSTRACT,BINGE,CSMOKING,LPA,OBESITY
51710004300,0.12999685237645578,0.2983947119924457,0.4438149197355996,0.5187283600881335
51710004400,0.12291169451073986,0.17422434367541767,0.2702863961813842,0.35083532219570407
51710004500,0.11753614079195475,0.16656191074795726,0.2702702702702703,0.3595223130106851
51710004600,0.13569620253164558,0.3220253164556962,0.4541772151898734,0.5230379746835443
51710004700,0.19952814290529153,0.13515335355578026,0.2005392652510954,0.2649140546006067
51710004800,0.10155148095909731,0.38081805359661497,0.49647390691114246,0.5296191819464033
51710004900,0.1617450943036769,0.1369784720899219,0.17736711754619927,0.23509239855210518
51710005000,0.11556678244395327,0.3065993053362804,0.4502683928007578,0.5112093463845911
51710005100,0.12152935821574874,0.29631315430132,0.42808375056895764,0.499089667728721
51710005500,0.1695667007847151,0.2541794609348345,0.32719208461276017,0.366086659843057
51710005601,0.16764440433212996,0.19652527075812273,0.2578971119133574,0.289485559566787
51710005602,0.1685126582278481,0.19883966244725737,0.26081223628691985,0.3090717299578059
51710005701,0.136986301369863,0.24538415723645027,0.3452451856263649,0.4046059162199722
51710005702,0.14100549882168106,0.19638648860958366,0.32992930086410055,0.40377062058130403
51710005800,0.14564943253467844,0.21227406473308114,0.3213535098781,0.39365279529213953
51710005901,0.13439635535307518,0.1943227615209392,0.26563868932889434,0.32714210618538636
51710005902,0.1691139240506329,0.22556962025316454,0.30354430379746833,0.34227848101265823
51710005903,0.15457063711911356,0.20664819944598337,0.2786703601108033,0.32022160664819943
51710006000,0.16310578426263678,0.22277227722772278,0.2907764460656592,0.3337675872850443
51710006100,0.16817170527417877,0.23400078523753434,0.31906818479256643,0.37979322078262007
51710006200,0.17196261682242991,0.24299065420560748,0.3355140186915888,0.37383177570093457
51710006400,0.139055023923445,0.20394736842105263,0.31848086124401914,0.39383971291866027
51710006501,0.20365853658536584,0.2780487804878049,0.34146341463414637,0.40691056910569107
51710006502,0.14803625377643503,0.14803625377643503,0.19939577039274925,0.2610271903323263
51710006601,0.2025931928687196,0.2366288492706645,0.32901134521880065,0.39708265802269044
51710006602,0.18178137651821863,0.19068825910931175,0.2659919028340081,0.29068825910931173
51710006603,0.19904761904761906,0.2180952380952381,0.32,0.35333333333333333
51710006604,0.14328485885372114,0.17151411462788707,0.2356715141146279,0.2711719418306245
51710006605,0.17756667884545121,0.15527950310559005,0.2411399342345634,0.28717573986116185
51710006606,0.1807198590485779,0.1839919456330229,0.28165114523030454,0.33022904606091114
51710006607,0.16127946127946127,0.17845117845117844,0.2814814814814815,0.31616161616161614
51710006800,0.1712521055586749,0.20325659741718136,0.2852330151600225,0.3250982594048287
51710006901,0.182713695583095,0.20432157610422624,0.30123927550047663,0.36892278360343184
51710006902,0.15886524822695036,0.16276595744680852,0.26276595744680853,0.2918439716312057
51710007001,0.18047493403693932,0.16728232189973616,0.20949868073878627,0.27387862796833773
51710007002,0.1346950041402153,0.1973502622136351,0.3152083908363235,0.379243720673475
51710980100,NA,NA,NA,NA
51710980200,NA,NA,NA,NA
51710980300,NA,NA,NA,NA
51710990000,NA,NA,NA,NA
