word,sentiment,lexicon
frikin,-2,afinn
frisky,2,afinn
frowning,-1,afinn
frustrate,-2,afinn
frustrated,-2,afinn
frustrates,-2,afinn
frustrating,-2,afinn
frustration,-2,afinn
ftw,3,afinn
fuck,-4,afinn
fucked,-4,afinn
fucker,-4,afinn
fuckers,-4,afinn
fuckface,-4,afinn
fuckhead,-4,afinn
fucking,-4,afinn
fucktard,-4,afinn
fud,-3,afinn
fuked,-4,afinn
fuking,-4,afinn
fulfill,2,afinn
fulfilled,2,afinn
fulfills,2,afinn
fuming,-2,afinn
fun,4,afinn
funeral,-1,afinn
funerals,-1,afinn
funky,2,afinn
funnier,4,afinn
funny,4,afinn
furious,-3,afinn
futile,2,afinn
gag,-2,afinn
gagged,-2,afinn
gain,2,afinn
gained,2,afinn
gaining,2,afinn
gains,2,afinn
gallant,3,afinn
gallantly,3,afinn
gallantry,3,afinn
generous,2,afinn
genial,3,afinn
ghost,-1,afinn
giddy,-2,afinn
gift,2,afinn
glad,3,afinn
glamorous,3,afinn
glamourous,3,afinn
glee,3,afinn
gleeful,3,afinn
gloom,-1,afinn
gloomy,-2,afinn
glorious,2,afinn
glory,2,afinn
glum,-2,afinn
god,1,afinn
goddamn,-3,afinn
godsend,4,afinn
good,3,afinn
goodness,3,afinn
grace,1,afinn
gracious,3,afinn
grand,3,afinn
grant,1,afinn
granted,1,afinn
granting,1,afinn
grants,1,afinn
grateful,3,afinn
gratification,2,afinn
grave,-2,afinn
gray,-1,afinn
great,3,afinn
greater,3,afinn
greatest,3,afinn
greed,-3,afinn
greedy,-2,afinn
green wash,-3,afinn
green washing,-3,afinn
greenwash,-3,afinn
greenwasher,-3,afinn
greenwashers,-3,afinn
greenwashing,-3,afinn
greet,1,afinn
greeted,1,afinn
greeting,1,afinn
greetings,2,afinn
greets,1,afinn
grey,-1,afinn
grief,-2,afinn
grieved,-2,afinn
gross,-2,afinn
growing,1,afinn
growth,2,afinn
guarantee,1,afinn
guilt,-3,afinn
guilty,-3,afinn
gullibility,-2,afinn
gullible,-2,afinn
gun,-1,afinn
ha,2,afinn
hacked,-1,afinn
haha,3,afinn
hahaha,3,afinn
hahahah,3,afinn
hail,2,afinn
hailed,2,afinn
hapless,-2,afinn
haplessness,-2,afinn
happiness,3,afinn
happy,3,afinn
hard,-1,afinn
hardier,2,afinn
hardship,-2,afinn
hardy,2,afinn
harm,-2,afinn
harmed,-2,afinn
harmful,-2,afinn
harming,-2,afinn
harms,-2,afinn
harried,-2,afinn
